Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2016-12-14,135.31747436523438,136.5600830165341,134.6876506600225,136.21964549238984,2119100
2016-12-15,136.2706756591797,137.45371329125246,135.38553052619562,135.62383933072425,1811100
2016-12-16,136.5260467529297,137.24097335776108,136.0494290163754,136.59413685627447,3767100
2016-12-19,139.12191772460938,140.03259521132495,137.58140356874486,137.88780252406738,3231900
2016-12-20,139.4623565673828,140.39005983459762,139.15595760913604,139.85387139780985,2204600
2016-12-21,138.76443481445312,139.60703514798612,138.7474220304805,139.24106548970465,1313400
2016-12-22,137.93890380859375,139.3006670791035,137.81122997935603,139.292160685232,1965900
2016-12-23,137.94737243652344,138.44952226154638,137.47926116452862,138.02396892097968,1254100
2016-12-27,137.92185974121094,138.5261382974629,137.70908304089647,137.9303661339542,1301100
2016-12-28,137.03671264648438,138.60275915939005,136.64521075840312,137.8963388979232,1281000
2016-12-29,137.13885498046875,137.4026960339287,136.73031432976276,136.73031432976276,858200
2016-12-30,136.2706756591797,137.0196536087587,135.8961866843902,136.93453775563168,1472300
2017-01-03,135.94729614257812,137.01969910590225,134.9089447265539,136.73031290129376,2099000
2017-01-04,135.97279357910156,136.59411078345477,135.2748928800351,136.00684511770393,2163600
2017-01-05,138.65379333496094,139.02828235470312,136.71327112980356,136.98561851616137,2880900
2017-01-06,138.585693359375,138.6878219986194,137.13881469370128,138.44951318247817,2167000
2017-01-09,137.00265502929688,138.28782155068205,136.7898783411091,138.16016073251274,2318300
2017-01-10,137.58990478515625,138.22823477557586,136.6111243410654,136.6707080405292,1477900
2017-01-11,137.48779296875,138.2027325830601,136.47498673995847,137.42822224322566,1378300
2017-01-12,137.76864624023438,137.84525571817687,136.7473207318716,137.32608007828753,1296900
2017-01-13,137.76011657714844,137.98991899844023,137.32605688080287,137.8707645923734,1250100
2017-01-17,139.41981506347656,139.79430416623353,137.59844687113522,137.75165286174501,2430500
2017-01-18,139.81130981445312,139.9049320766656,138.38144371764966,139.28361479704714,1834700
2017-01-19,139.32618713378906,140.2624098526886,139.20703269564365,139.73471478073625,1980400
2017-01-20,139.78578186035156,140.23686741363431,138.92615570318878,139.91344268227732,1897100
2017-01-23,138.73892211914062,139.87941516137977,138.02399548623356,139.62408051052444,1421600
2017-01-24,139.3007049560547,139.42837882000794,138.69642615534823,138.92621573410818,1347400
2017-01-25,139.70068359375,140.21985931310908,139.4964132660666,139.75174792895575,1299200
2017-01-26,139.64111328125,139.95601867386446,139.07086023812477,139.87090279036087,1180000
2017-01-27,137.9303741455078,140.07516704557648,136.7813876891874,140.0581412722418,2341100
2017-01-30,138.94320678710938,138.9772453502043,136.68777860981194,137.90485529008836,2149800
2017-01-31,139.5389404296875,139.58149836192544,138.17717750607594,138.29633192422767,1796600
2017-02-01,137.76011657714844,139.53892627730863,137.71755864922682,139.44530403062356,2219700
2017-02-02,143.1135711669922,143.73488834235215,141.4198773259792,141.99862358664433,5816300
2017-02-03,143.25828552246094,143.70085165451712,142.2624792581906,142.74761630934066,3227700
2017-02-06,142.16033935546875,143.13910678512642,141.8879919870619,143.13910678512642,2172800
2017-02-07,142.57740783691406,143.05402554383244,141.73480747063147,142.58591422923098,2732600
2017-02-08,143.72950744628906,143.85752515341585,142.94438165890273,142.94438165890273,2089900
2017-02-09,145.8971405029297,146.28969686299118,143.51614931962845,143.75510006623256,2606900
2017-02-10,146.7846221923828,147.01504355937996,145.3082456269104,146.48592734546673,2070000
2017-02-13,146.7505340576172,147.2028345977138,145.74351621725063,147.2028345977138,2272200
2017-02-14,148.17575073242188,148.18428003906226,146.40067831305888,146.4945527734718,2244700
2017-02-15,149.34486389160156,149.34486389160156,147.68926731696618,147.79167105664632,2346500
2017-02-16,149.98495483398438,150.05322835328664,148.92673481756273,149.43025039468665,2206500
2017-02-17,150.07879638671875,150.62497139953186,148.90110122521818,149.745971191752,2424400
2017-02-21,151.00047302246094,151.0516748965586,150.19827560335773,150.66764781898618,2317000
2017-02-22,150.633544921875,151.12851820719547,149.40466054869412,151.11145959248472,1815200
2017-02-23,150.07025146484375,151.08578555376596,149.5240765088682,150.64202735454955,2599900
2017-02-24,151.5295867919922,151.65760450784114,149.4472902905196,149.53263543441892,1684300
2017-02-27,151.58078002929688,151.7770712447083,150.66764954645916,151.33329996104067,2340400
2017-02-28,151.2052459716797,151.7940934329436,149.75447010907746,151.008967825204,2992100
2017-03-01,151.78558349609375,152.5109780308661,151.2394085244218,151.36741319675176,2352300
2017-03-02,151.88804626464844,152.11846778623325,150.63354790090509,151.47841813215373,3190300
2017-03-03,145.2997589111328,146.6908039254513,144.9925346448367,145.67525668347693,10396500
2017-03-06,142.28726196289062,145.35950465853608,141.75815856268943,144.57437886339113,5793600
2017-03-07,142.51768493652344,143.90018765335,142.12511552385513,142.12511552385513,2811900
2017-03-08,141.86907958984375,142.86755503417294,141.8008060951241,142.51765825692388,2375900
2017-03-09,141.46798706054688,142.33844485670443,140.9132697751668,142.00561969421167,1993700
2017-03-10,141.1266326904297,142.09097802963143,140.79380749699962,142.08244872481916,2164200
2017-03-13,140.42684936523438,140.9047508623301,140.21349955247098,140.6828717449183,2127700
2017-03-14,141.01571655273438,141.08399006493886,140.04284179204208,140.13671624359313,1974400
2017-03-15,142.1251220703125,142.1251220703125,140.6658164735204,141.29733668060933,2079700
2017-03-16,142.56886291503906,143.08943692836502,141.88614097630764,142.32991218975874,2726600
2017-03-17,143.20895385742188,143.66979683410642,142.5774466238165,143.4223037113354,3976000
2017-03-20,142.89320373535156,143.61858544329317,142.3470286168488,143.16628478368193,1603300
2017-03-21,142.32992553710938,144.05379566415303,142.21897946788286,142.95290334202312,2241900
2017-03-22,143.09799194335938,143.34548503876388,142.55181689860763,142.79078068866173,1534200
2017-03-23,142.4323272705078,143.72949775525933,142.03122858786648,143.37107163878304,1430500
2017-03-24,141.68130493164062,142.91020156911065,141.37408077227312,142.83338576289233,1410400
2017-03-27,141.7923126220703,141.93740198698646,141.0840025417213,141.2632091329954,1212300
2017-03-28,142.32142639160156,142.5603771899258,140.93891046204928,141.75817964333365,1446400
2017-03-29,142.8846435546875,142.92731612555056,141.7922934541626,141.90323953403853,1216700
2017-03-30,143.2771759033203,143.52465591534653,142.31283074306702,142.77367355420137,1034000
2017-03-31,143.1065216064453,143.51614959829934,142.6286201123091,143.0211764731328,1720300
2017-04-03,142.26165771484375,143.62710177487378,142.00563532585818,143.14920026041514,1547900
2017-04-04,142.73098754882812,142.79073173131778,141.75811317699205,142.17628338891228,1322400
2017-04-05,142.51768493652344,143.71243876318343,142.27873417119145,142.76516500710298,1715200
2017-04-06,145.09494018554688,146.878541444304,144.48902100491443,144.8047745518396,3313800
2017-04-07,145.60702514648438,145.9313211382259,144.59147761179355,144.82189913339116,1510000
2017-04-10,146.11904907226562,146.4177440766493,144.94989603915096,145.24857802169296,2002300
2017-04-11,145.61550903320312,146.30676029871933,144.76210983689407,145.75204300801545,1191400
2017-04-12,145.2229461669922,146.31529614536558,144.8133181805619,146.2982245145613,1422300
2017-04-13,144.08795166015625,145.60700155135143,144.0538214137453,145.12057066440715,1422500
2017-04-17,144.82188415527344,144.86455673216975,143.9770270332003,144.028228916739,1504100
2017-04-18,145.18881225585938,145.35096018980255,144.62556565011113,145.1205387562076,1542700
2017-04-19,145.1290740966797,145.8715272757852,144.92426661104457,145.8288677308373,1441300
2017-04-20,145.20587158203125,146.08487173390444,145.03519434297758,145.35949021246662,1933600
2017-04-21,145.73501586914062,146.68228970246702,145.624069782675,146.37506540458168,2257900
2017-04-24,147.06629943847656,147.3052501950538,146.21290015874666,146.78467611354495,1906900
2017-04-25,147.36495971679688,147.67218393322412,147.03213456748716,147.56125089801267,1503000
2017-04-26,150.8809814453125,152.13547931339548,149.70328638013132,151.9477304472988,4591300
2017-04-27,151.4357147216797,151.72586738055088,150.5567144174375,151.3247816590765,2148700
2017-04-28,151.49542236328125,151.9647945051344,150.9919069628364,151.9647945051344,2364500
2017-05-01,151.78558349609375,152.3317584677657,151.3332829580766,152.3317584677657,3328000
2017-05-02,152.40858459472656,152.707279571658,151.8538802339573,152.5195306756166,2505300
2017-05-03,153.458251953125,154.00442692579884,152.5024359845669,152.53657924514314,2900500
2017-05-04,155.7026824951172,156.32566026924152,153.61185704525778,153.6545296099158,3762200
2017-05-05,153.78250122070312,156.10374760320576,153.40700356738128,155.9757429585895,3713600
2017-05-08,153.28529357910156,155.11434438805452,152.3618941540045,155.07883475744902,3538000
2017-05-09,153.32083129882812,154.42181972302842,152.9923163500801,154.14657600400975,2662100
